SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ALICON,EQ,409,424.8,400.5,406.65,407,416.5,5565,2278242.25,29-JAN-2020,198,INE062D01024,
ALKALI,EQ,45.3,54.3,45,54.1,54.3,45.25,142823,7381256.45,29-JAN-2020,1460,INE773I01017,
ALKEM,EQ,2339.05,2349,2252.15,2299.9,2300,2324.6,80168,184752356.05,29-JAN-2020,5052,INE540L01014,
ALKYLAMINE,EQ,1323,1349.9,1317,1338.15,1340.6,1310.75,32637,43489764.55,29-JAN-2020,3120,INE150B01021,
ALLCARGO,EQ,117.75,119.7,116.1,117.1,117.3,117.15,319433,37741631.35,29-JAN-2020,3593,INE418H01029,
ALLSEC,EQ,284.8,287.4,281.1,286.45,286.5,284.8,3153,895048,29-JAN-2020,330,INE835G01018,
ALMONDZ,EQ,16.5,16.5,15.75,16.5,16.5,15.75,4198,68949.3,29-JAN-2020,152,INE326B01027,
ALOKTEXT,BE,3.15,3.35,3.1,3.25,3.25,3.25,6135467,19596166.15,29-JAN-2020,2959,INE270A01011,
ALPA,EQ,20.9,21.55,20.25,20.7,20.6,21,47200,990162.3,29-JAN-2020,245,INE385I01010,
ALPHAGEO,EQ,212.15,213.85,200,202.6,201.3,210.5,11011,2268005.55,29-JAN-2020,873,INE137C01018,
ALPSINDUS,BE,1.2,1.25,1.2,1.2,1.25,1.25,9640,11619.95,29-JAN-2020,39,INE093B01015,
AMARAJABAT,EQ,792.95,804,792,795.75,795.2,790.1,360220,287469176.25,29-JAN-2020,8700,INE885A01032,
AMBER,EQ,1478,1585,1478,1535.5,1542,1469.15,291963,447709844.55,29-JAN-2020,22878,INE371P01015,
AMBIKCO,EQ,841.15,847.45,831,838.5,839.1,836.95,9734,8160723.5,29-JAN-2020,610,INE540G01014,
AMBUJACEM,EQ,216.75,218.25,213.25,214.05,214.4,216.15,3410299,737933889.55,29-JAN-2020,18535,INE079A01024,
AMDIND,EQ,17.5,18.55,15.75,17.75,17.7,17.1,43034,768029.85,29-JAN-2020,312,INE005I01014,
AMJLAND,EQ,22.2,22.2,20.8,21.4,21.5,21.25,4465,94101.95,29-JAN-2020,51,INE606A01024,
AMRUTANJAN,EQ,446.35,465,446.35,461.5,465,449.15,28617,13156381.3,29-JAN-2020,1746,INE098F01031,
ANANTRAJ,EQ,35.8,35.85,35.05,35.2,35.15,35.25,151616,5384520.75,29-JAN-2020,1348,INE242C01024,
ANDHRABANK,EQ,16.85,16.9,16.75,16.8,16.8,16.8,297046,4996449.6,29-JAN-2020,2396,INE434A01013,
ANDHRACEMT,EQ,2.45,2.45,2.3,2.35,2.35,2.35,100133,238074.05,29-JAN-2020,163,INE666E01012,
ANDHRSUGAR,EQ,326.95,344,326.95,334.75,335.05,324.6,47532,16085415.4,29-JAN-2020,1812,INE715B01013,
ANDPAPER,EQ,307.95,312,301,303.85,304.3,303.15,7803,2411243,29-JAN-2020,359,INE435A01028,
ANIKINDS,EQ,10.05,11,10,10.1,10.8,10.5,15700,158300.3,29-JAN-2020,70,INE087B01017,
ANKITMETAL,BE,0.45,0.5,0.4,0.5,0.5,0.45,9528,4186.5,29-JAN-2020,33,INE106I01010,
ANSALAPI,EQ,5.3,5.3,5.1,5.15,5.2,5.2,42826,221530.7,29-JAN-2020,76,INE436A01026,
ANSALHSG,BE,5.55,5.8,5.4,5.65,5.6,5.55,45416,259763.7,29-JAN-2020,68,INE880B01015,
ANTGRAPHIC,BE,0.6,0.65,0.6,0.65,0.65,0.65,9956,6168.5,29-JAN-2020,16,INE414B01021,
ANUP,EQ,592,630,581.9,622.85,620,585.6,53333,32659776.35,29-JAN-2020,2507,INE294Z01018,
APARINDS,EQ,403,403,396.55,398.45,396.8,399.55,56584,22578111.6,29-JAN-2020,1010,INE372A01015,
APCL,EQ,167.8,167.8,160,160.2,161.45,162.9,4703,761574.1,29-JAN-2020,112,INE071F01012,
APCOTEXIND,EQ,161.5,165.9,160.5,161.8,160.65,161.55,50035,8150442,29-JAN-2020,937,INE116A01032,
APEX,EQ,363,372,360.3,364.3,363,362.1,282532,103466027.05,29-JAN-2020,7614,INE346W01013,
APLAPOLLO,EQ,2074.1,2078,2045.5,2058.25,2045.5,2041.25,29587,61003126.5,29-JAN-2020,4797,INE702C01019,
APLLTD,EQ,633,644,630.05,634.55,633,632.4,699062,443925151.6,29-JAN-2020,19341,INE901L01018,
APOLLO,EQ,77.5,79.4,75.75,78.25,78,75.4,18292,1415674.45,29-JAN-2020,662,INE713T01010,
APOLLOHOSP,EQ,1687,1694.95,1671.05,1688,1688,1677.75,230705,388746125.8,29-JAN-2020,10779,INE437A01024,
APOLLOPIPE,EQ,418,418,400,406,406,402.65,16744,6796260.85,29-JAN-2020,1027,INE126J01016,
APOLLOTYRE,EQ,174.55,175.8,173.5,174.2,174.4,173.9,1067364,186346509.95,29-JAN-2020,8142,INE438A01022,
APOLSINHOT,EQ,763.9,765,754,757.15,755,753.95,808,612422.05,29-JAN-2020,101,INE451F01024,
APTECHT,EQ,148,183.3,148,180,177.45,161.95,2662699,447720644.85,29-JAN-2020,39279,INE266F01018,
ARCHIDPLY,EQ,31.8,32.4,30.55,30.75,30.8,30.95,7874,243878.45,29-JAN-2020,288,INE877I01016,
ARCHIES,EQ,17.65,17.75,17.3,17.55,17.6,17.6,20777,364376.15,29-JAN-2020,133,INE731A01020,
ARCOTECH,BE,2.15,2.15,1.95,1.95,2.05,2.05,20004,40228.5,29-JAN-2020,47,INE574I01035,
ARIES,EQ,75.8,75.8,74,74.15,75,73.8,19300,1435698.4,29-JAN-2020,329,INE298I01015,
ARIHANT,EQ,23.85,23.85,23,23.55,23.6,22.8,721,17009.25,29-JAN-2020,13,INE413D01011,
ARIHANTSUP,EQ,29.45,31.65,29.45,31,31.65,30.45,3212,98387.3,29-JAN-2020,169,INE643K01018,
ARMANFIN,EQ,735,750,731.55,742.9,748.85,723.45,4335,3214796.9,29-JAN-2020,559,INE109C01017,
AROGRANITE,EQ,36.65,38.2,36.2,36.65,36.9,36.25,6514,240015.9,29-JAN-2020,172,INE210C01013,
ARROWGREEN,EQ,50.9,51.75,50.5,50.5,50.5,50.5,2502,127392.65,29-JAN-2020,68,INE570D01018,
ARROWTEX,BE,9.5,9.7,9.5,9.55,9.65,9.5,2462,23517.6,29-JAN-2020,17,INE933J01015,
ARSHIYA,EQ,16.75,17.8,16.65,17.4,17.2,16.9,40351,688986.25,29-JAN-2020,137,INE968D01022,
ARSSINFRA,EQ,21.3,21.3,20.25,20.7,20.7,20.6,7787,162117.35,29-JAN-2020,46,INE267I01010,
ARTEMISMED,BE,261.25,261.25,261.25,261.25,261.25,248.85,3696,965580,29-JAN-2020,34,INE025R01013,
ARVIND,EQ,42.45,43.1,42.3,42.95,43,42.45,644234,27550334.95,29-JAN-2020,3104,INE034A01011,
ARVINDFASN,EQ,393,400,392,393.2,392.4,392.9,10587,4182372.45,29-JAN-2020,663,INE955V01021,
ARVSMART,EQ,91.55,93.95,91,92.55,93,92.15,6799,630633.25,29-JAN-2020,686,INE034S01021,
ASAHIINDIA,EQ,251.4,252,245.85,246.85,248.5,249.65,9308,2309211.55,29-JAN-2020,340,INE439A01020,
ASAHISONG,EQ,152.75,156,149.15,154,156,152.45,18870,2864795.15,29-JAN-2020,557,INE228I01012,
ASAL,EQ,33.2,33.45,32.6,32.65,33,33.2,5863,191853.15,29-JAN-2020,48,INE900C01027,
ASCOM,SM,32.9,32.9,32.5,32.5,32.5,32.85,16000,523000,29-JAN-2020,4,INE08KD01015,
ASHAPURMIN,EQ,33.55,35.65,33.55,34.05,34,34.45,16657,568728.25,29-JAN-2020,92,INE348A01023,
ASHIANA,EQ,115,115.35,110.7,114.7,114.5,112.8,20580,2332988.25,29-JAN-2020,346,INE365D01021,
ASHIMASYN,EQ,7.7,8.15,7.6,7.9,7.95,7.65,13096,103449.6,29-JAN-2020,105,INE440A01010,
ASHOKA,EQ,114.6,116.9,114.2,114.95,115,113.65,463005,53338936.45,29-JAN-2020,3888,INE442H01029,
ASHOKLEY,EQ,85.15,85.6,84.3,84.6,84.6,84.65,7987239,678696216.9,29-JAN-2020,31852,INE208A01029,
ASIANHOTNR,EQ,88.9,88.95,83,86.45,88.95,87.45,5552,476563.4,29-JAN-2020,165,INE363A01022,
ASIANPAINT,EQ,1787,1803.85,1781,1796.95,1798,1779.1,873805,1568267257.5,29-JAN-2020,55308,INE021A01026,
ASIANTILES,EQ,211.6,217.35,209.35,211.4,210.05,213.7,20355,4354567.25,29-JAN-2020,2402,INE022I01019,
ASPINWALL,EQ,150.05,159.5,148.5,155.2,156.1,155.3,1295,199655.05,29-JAN-2020,37,INE991I01015,
ASTEC,EQ,489.5,495,479.7,492.7,491,481.45,5909,2895646.9,29-JAN-2020,410,INE563J01010,
ASTERDM,EQ,165.6,170,163.1,165,165.2,163.8,484216,80198004.45,29-JAN-2020,3285,INE914M01019,
ASTRAL,EQ,1222,1245,1176.05,1187.85,1195,1229.35,140264,168139541.3,29-JAN-2020,16549,INE006I01046,
ASTRAMICRO,EQ,93.95,102,93,99.65,99.75,92.45,2628737,259725362.85,29-JAN-2020,20518,INE386C01029,
ASTRAZEN,EQ,2654,2725,2641.3,2702.3,2724,2634.3,26048,69914451,29-JAN-2020,3216,INE203A01020,
ASTRON,EQ,38.85,39.6,38.5,38.95,39.4,38.45,328779,12834489.8,29-JAN-2020,636,INE646X01014,
ATFL,EQ,721,722.95,699.45,712.8,719,706.4,12820,9188908.4,29-JAN-2020,1020,INE209A01019,
ATLANTA,EQ,6,6.3,6,6.15,6.2,6.15,4923,30532.15,29-JAN-2020,54,INE285H01022,
ATLASCYCLE,BE,51.05,51.05,49.05,50.3,51,51.25,1551,78310.35,29-JAN-2020,35,INE446A01025,
ATUL,EQ,4930,5018,4881.7,4915.7,4939.95,4901.35,37404,185468352.95,29-JAN-2020,5007,INE100A01010,
ATULAUTO,EQ,263.95,270,256.5,258,256.75,262.45,36187,9494634.1,29-JAN-2020,1971,INE951D01028,
AUBANK,EQ,1060,1069,1033,1046.65,1041,1043.8,284068,297906089.45,29-JAN-2020,16915,INE949L01017,
AURIONPRO,EQ,59.4,59.4,57.15,58.3,58.7,58.75,11323,659709.7,29-JAN-2020,216,INE132H01018,
AUROPHARMA,EQ,505.4,511.15,503.25,507.35,505.5,504.1,1730597,876644096.45,29-JAN-2020,36695,INE406A01037,
AUSOMENT,BE,35.55,39.05,35.55,38.65,38.65,37.2,1428,52721.65,29-JAN-2020,13,INE218C01016,
AUTOAXLES,EQ,874.95,887,867.2,874.85,870,868,10541,9260155.3,29-JAN-2020,2356,INE449A01011,
AUTOIND,BE,24.3,25,24.3,25,25,25.15,753,18594.55,29-JAN-2020,18,INE718H01014,
AUTOLITIND,EQ,26.5,26.5,24.15,24.8,25.25,25.85,12754,319155.2,29-JAN-2020,196,INE448A01013,
AVADHSUGAR,EQ,298.6,314.35,298,306.8,305.95,295.8,278337,85851587.8,29-JAN-2020,6664,INE349W01017,
AVANTIFEED,EQ,675.55,681.9,664.1,670.05,670,669.55,460009,310110573.4,29-JAN-2020,14149,INE871C01038,
AVG,SM,82,82,82,82,82,75,1200,98400,29-JAN-2020,1,INE680Z01018,
AVROIND,SM,54.8,54.8,54.8,54.8,54.8,51.45,8000,438400,29-JAN-2020,2,INE652Z01017,
AVTNPL,EQ,37,38.25,36.5,36.75,36.5,36.95,101905,3812070.05,29-JAN-2020,891,INE488D01021,
AXISBANK,EQ,740,745.5,733.55,735.25,735.5,737.15,7985274,5905850444.2,29-JAN-2020,120322,INE238A01034,
AXISCADES,EQ,72.9,73.5,67.6,68.45,68,71.5,102155,7159795.6,29-JAN-2020,1862,INE555B01013,
AXISGOLD,EQ,3538,3538,3501.35,3531.9,3524,3544.05,176,620475.75,29-JAN-2020,72,INF846K01347,
AXISNIFTY,EQ,1255.01,1258.52,1244.93,1244.93,1244.93,1249.72,381,475545.97,29-JAN-2020,15,INF846K01ZL0,
AYMSYNTEX,EQ,35.2,35.2,33.15,34.05,33.15,34.6,3423,117700.2,29-JAN-2020,75,INE193B01039,
BAGFILMS,BE,1.85,1.9,1.8,1.8,1.85,1.85,34029,63202.55,29-JAN-2020,68,INE116D01028,
BAJAJ-AUTO,EQ,3079,3099,3060,3091.85,3094.75,3060.9,243945,753135618.75,29-JAN-2020,24785,INE917I01010,
BAJAJCON,EQ,230.5,232.5,226.5,227.8,227.75,228.9,200295,45814689.4,29-JAN-2020,3673,INE933K01021,
BAJAJELEC,EQ,385,392,380.65,383.1,382,384.2,89928,34730174.5,29-JAN-2020,3257,INE193E01025,
BAJAJFINSV,EQ,9649,9929,9649,9894.25,9924,9631.3,501913,4922531177.4,29-JAN-2020,64178,INE918I01018,
BAJAJHIND,EQ,6.5,6.7,6.4,6.45,6.5,6.4,1297333,8473405.3,29-JAN-2020,1410,INE306A01021,
BAJAJHLDNG,EQ,3279,3428,3260,3417.3,3407,3264.55,119568,396688297.9,29-JAN-2020,9572,INE118A01012,
BAJFINANCE,EQ,4244.9,4444,4215.1,4419,4426.2,4213,4581413,19841640616.55,29-JAN-2020,243602,INE296A01024,
BALAJITELE,EQ,53.05,56,52.7,55.25,55.5,52.6,193538,10647006.75,29-JAN-2020,1006,INE794B01026,
BALAMINES,EQ,467,476.3,463.05,471.85,472.45,458.55,55123,25915092.95,29-JAN-2020,2617,INE050E01027,
BALAXI,EQ,71.05,79,69.9,73.05,79,72.85,2142,155151.65,29-JAN-2020,82,INE618N01014,
BALKRISHNA,BE,18.25,18.25,17.7,18,18.25,17.4,636,11336.05,29-JAN-2020,14,INE875R01011,
BALKRISIND,EQ,1086.4,1103,1075.8,1084.25,1085,1081.05,402633,439215080.15,29-JAN-2020,12192,INE787D01026,
BALLARPUR,BE,0.55,0.6,0.55,0.55,0.6,0.55,2177950,1266931.15,29-JAN-2020,330,INE294A01037,
BALMLAWRIE,EQ,123.3,124.4,117.3,121.35,121.05,123.2,130960,15954526.85,29-JAN-2020,2560,INE164A01016,
BALPHARMA,EQ,49.25,50.9,48,48.7,48.9,49.5,10285,508094.75,29-JAN-2020,221,INE083D01012,
BALRAMCHIN,EQ,168.4,175.8,168.4,174.5,175,167.4,916779,159004108.8,29-JAN-2020,8846,INE119A01028,
BANARBEADS,EQ,34.9,34.9,33.25,33.5,33.25,34.4,286,9539.1,29-JAN-2020,16,INE655B01011,
BANARISUG,EQ,1463.45,1515,1463.45,1512.7,1515,1475,324,485888.95,29-JAN-2020,176,INE459A01010,
BANCOINDIA,EQ,104,104.85,103,103.1,103,103.75,26082,2709406.55,29-JAN-2020,788,INE213C01025,
BANDHANBNK,EQ,465,466,445.25,451.15,451.2,462.3,2273052,1032778806,29-JAN-2020,80123,INE545U01014,
BANG,EQ,23.2,23.95,22.15,22.6,22.95,22.6,1671,37955.85,29-JAN-2020,37,INE863I01016,
BANKBARODA,EQ,93.75,94.2,93.35,93.7,93.65,93.2,14424795,1351891465.25,29-JAN-2020,27058,INE028A01039,
BANKBEES,EQ,314.55,316.9,314.55,315.53,315.69,314.13,39598,12509506.57,29-JAN-2020,2526,INF204KB15I9,
BANKINDIA,EQ,66.9,67.2,66.2,66.45,66.35,66.3,846686,56462973.2,29-JAN-2020,4579,INE084A01016,
BANSWRAS,BE,116.8,124,116.8,119.7,120.5,121.1,7717,937207.2,29-JAN-2020,59,INE629D01012,
BARTRONICS,BE,1.3,1.3,1.3,1.3,1.3,1.3,870,1131,29-JAN-2020,5,INE855F01034,
BASF,EQ,1010,1020.85,996,1001.9,1002,1009,26806,27052978.8,29-JAN-2020,3832,INE373A01013,
BASML,EQ,132.15,144,132.1,138.05,138.6,131.2,3857,538398.35,29-JAN-2020,83,INE186H01014,
BATAINDIA,EQ,1840,1860,1822,1856.35,1855,1833.25,451969,833043804,29-JAN-2020,19036,INE176A01028,
BAYERCROP,EQ,4118,4150,4090,4122.2,4134,4081.8,8916,36722888.15,29-JAN-2020,1646,INE462A01022,
BBL,EQ,852.4,860,850,854.7,856,846.95,2418,2064485.05,29-JAN-2020,283,INE464A01028,
BBTC,EQ,1180,1203.8,1170.15,1188.75,1184,1169.3,163235,194092420.15,29-JAN-2020,8542,INE050A01025,
BCG,BE,4.55,4.95,4.55,4.95,4.95,4.75,452806,2148928.7,29-JAN-2020,303,INE425B01027,
BCP,BE,22.4,22.4,20.9,21.7,21,22,69624,1484629,29-JAN-2020,112,INE905P01028,
BDL,EQ,297.95,310.95,296,303.2,303.35,295.5,106612,32480261.25,29-JAN-2020,3783,INE171Z01018,
BEARDSELL,BE,8.6,9.25,8.6,9,9,9.05,6559,58919,29-JAN-2020,34,INE520H01022,
BEDMUTHA,BE,16.5,16.5,15.8,16.5,16.5,16.4,324,5197.6,29-JAN-2020,5,INE844K01012,
BEL,EQ,100.9,101.15,99.7,100.55,100.55,100.2,9448518,947578632.05,29-JAN-2020,21837,INE263A01024,
BEML,EQ,986,999.8,985,988.75,985.95,988.4,134845,133815609.75,29-JAN-2020,4790,INE258A01016,
BEPL,EQ,54.2,54.9,52.05,52.5,52.3,53.8,375252,19938164.2,29-JAN-2020,4420,INE922A01025,
BERGEPAINT,EQ,561.85,574.85,560.75,572.95,574.45,560.75,1127008,641302568.7,29-JAN-2020,16811,INE463A01038,
BETA,SM,70.1,74.35,70.1,71.05,71,73.5,4000,286120,29-JAN-2020,5,INE351Y01019,
BFINVEST,EQ,324.7,325.05,316.65,319.25,319,321.8,40240,12888290.7,29-JAN-2020,1289,INE878K01010,
BFUTILITIE,EQ,326,327.5,307.35,308.95,309.15,323.5,228613,72171156.1,29-JAN-2020,7707,INE243D01012,
BGLOBAL,BE,1.4,1.4,1.4,1.4,1.4,1.35,1461,2045.4,29-JAN-2020,6,INE224M01013,
BGRENERGY,EQ,40.5,42.1,39,39.75,39.85,40.3,540996,21972863.5,29-JAN-2020,3341,INE661I01014,
BHAGERIA,EQ,115.95,117.95,114.05,114.5,114.05,113.5,14926,1725551.3,29-JAN-2020,325,INE354C01027,
BHAGYANGR,EQ,22,22.45,21.3,21.5,21.3,21.6,3008,65218.95,29-JAN-2020,54,INE458B01036,
BHAGYAPROP,EQ,22.8,23.75,22.8,23.75,23.75,22.95,5907,135954.6,29-JAN-2020,71,INE363W01018,
BHANDARI,EQ,1.25,1.25,1.15,1.2,1.15,1.25,96472,116392.85,29-JAN-2020,88,INE474E01029,
BHARATFORG,EQ,499.8,512.7,499.8,505,505,499.8,623861,316511590.55,29-JAN-2020,15885,INE465A01025,
BHARATGEAR,BE,67.15,67.65,65.05,65.55,66.7,67.35,11010,732584.4,29-JAN-2020,105,INE561C01019,
BHARATRAS,EQ,6495,6680,6444,6486,6451,6422.6,961,6255410.8,29-JAN-2020,375,INE838B01013,
BHARATWIRE,EQ,27.55,28.9,27.05,27.9,28,27.9,17228,473558.8,29-JAN-2020,462,INE316L01019,
BHARTIARTL,EQ,493.1,501.4,488.25,490.25,490.7,491.25,19668016,9708706048.55,29-JAN-2020,175835,INE397D01024,
BHEL,EQ,43.7,45.1,43.6,44.55,44.6,43.3,15586751,693835754.55,29-JAN-2020,26190,INE257A01026,
BIGBLOC,BE,38,38,37.75,37.75,37.75,38.25,355,13426.25,29-JAN-2020,5,INE412U01017,
BIL,EQ,173.9,182.55,172.1,179.6,174,173.9,3824,673784.5,29-JAN-2020,295,INE828A01016,
BILENERGY,EQ,0.95,0.95,0.9,0.95,0.95,0.9,134198,126579.6,29-JAN-2020,76,INE607L01029,
BINDALAGRO,EQ,16,16,14.65,14.85,14.9,14.85,32327,486623.5,29-JAN-2020,124,INE143A01010,
BIOCON,EQ,289.05,303.9,289,297.45,296.85,288.6,7779268,2328370238.3,29-JAN-2020,91524,INE376G01013,
BIOFILCHEM,BE,11.85,12.45,11.6,11.95,11.9,12.1,5638,67944.2,29-JAN-2020,68,INE829A01014,
BIRLACABLE,EQ,58.35,59.5,57.9,58.55,57.9,58.35,37461,2198552.5,29-JAN-2020,501,INE800A01015,
